ID,PRODUCTO,DESCRIPCIÓN,PRECIO UNITARIO
313,Sillón operativo Mizar,sin reclinar con brazos,1155.00
314,Sillón operativo Mizar,sin reclinar sin brazos,1000.00
315,Sillón operativo Mizar,reclinable con brazos,1255.00
316,Sillón operativo Mizar,reclinable sin brazos,1100.00
317,Sillón operativo Alcor,sin reclinar con brazos,1555.00
318,Sillón operativo Alcor,sin reclinar sin brazos,1000.00
319,Sillón operativo Alcor,reclinable con brazos,1410.00
320,Sillón operativo Alcor,reclinable sin brazos,1100.00
321,Sillón ejecutivo Cetus,con brazos,1440.00
322,Sillón ejecutivo Cetus,sin brazos,1240.00
323,Sillón ejecutivo Atlas,cabecera con polipropileno,2400.00
324,Sillón ejecutivo Atlas,cabecera sin polipropileno,2225.00
325,Pablo alto,,1580.00
326,Valentina alto,,1350.00
327,Valentina bajo,,1280.00
328,Banca tandem ISO Tapizada,dos plazas PINTADA,1074.00
329,Banca tandem ISO Tapizada,dos plazas CROMADA,1044.00
330,Banca tandem ISO Tapizada,tres plazas PINTADA,1452.00
331,Banca tandem ISO Tapizada,tres plazas CROMADA,1628.00
332,Banca tandem ISO Tapizada,cuatro plazas PINTADA,1923.00
333,Banca tandem ISO Tapizada,cuatro plazas CROMADA,2047.00
334,Banca tandem ISO Tapizada,cinco plazas PINTADA,2485.00
335,Banca tandem ISO Tapizada,cinco plazas CROMADA,2500.00
336,Banca tandem Nova,dos plazas PINTADA,795.00
337,Banca tandem Nova,tres plazas PINTADA,1154.00
338,Banca tandem Nova,cuatro plazas PINTADA,1609.00
339,Banca tandem Nova,cinco plazas PINTADA,1968.00
340,Banca tandem polipropileno,dos plazas PINTADA,809.00
341,Banca tandem polipropileno,tres plazas PINTADA,1168.00
342,Banca tandem polipropileno,cuatro plazas PINTADA,1623.00
343,Banca tandem polipropileno,cinco plazas PINTADA,1981.00
344,Banca Steel,dos plazas CROMADA,1950.00
345,Banca Steel,tres plazas CROMADA,2850.00
346,Banca Steel,cuatro plazas CROMADA,3500.00
347,Banca Steel,cinco plazas CROMADA,4300.00
348,Banco de laboratorio,asiento tapizado con pliana,310.00
349,Banco de laboratorio,asiento de triplay barnizado,283.00
350,Banco de laboratorio,asiento de triplay con formaica,278.00
351,Banco de laboratorio,asiento de polipropileno,308.00
352,Mueble multimedia,,935.00
353,Mueble para PC,,835.00
354,Mesa para computadora,860.00
355,Escritorio ejecutivo,150x75x75 cm,4230.00
356,Escritorio secretarial económico,120x75x75 cm,2720.00
357,Escritorio ejecutivo,150x75x75 cm,3075.00
358,Escritorio secretarial Akor,sin cajón,2920.00
359,Escritorio secretarial Akor,con cajón,3800.00
360,Escritorio ejecutivo Akor,sin cajón,3430.00
361,Escritorio ejecutivo Akor,con cajón,4310.00
362,Escritorio tipo CAPFCE,con cajón sin llave,1889.00
363,Escritorio tipo CAPFCE,con cajón con llave,1929.00
364,Pedestal Redondo,,2540.00
365,Anaquel esqueleto,30x84x220 cm,1280.00
366,Anaquel esqueleto,45x84x220 cm,1560.00
367,Anaquel esqueleto,60x84x220 cm,1650.00
368,Anaquel esqueleto,entrepaño adicional,175.00
369,Anaquel esqueleto,40 tornillos adicionales,100.00
370,Gabinete Metálico,3 entrepaños,3770.00
371,Archivero vertical,2 gavetas de 47x69x70 cm,2140.00
372,Archivero vertical,3 gavetas de 47x69x104 cm,2970.00
373,Archivero vertical,4 gavetas de 47x69x132 cm,3780.00
374,Archivero horizontal,2 gavetas de 90x48x70 cm,2250.00
375,Archivero horizontal,3 gavetas de 90x48x103 cm,3170.00
376,Archivero horizontal,4 gavetas de 90x48x132 cm,4010.00
377,Locker metálico,de 2 puertas,1760.00
378,Locker metálico,de 3 puertas,1916.00
379,Locker metálico,de 4 puertas,2110.00
380,Locker metálico,de 5 puertas,2295.00
381,Librero con puertas de cristal,de 100x120 cm,3825.00
382,Librero con puertas de cristal,de 100x150 cm,4310.00
383,Tablón rectangular,de 75x180 cm PLASTICO,1035.00
384,Tablón rectangular,de 75x180 cm FIBRA DE VIDRIO,995.00
385,Tablón rectangular,de 75x180 cm FIBRACEL,720.00
386,Tablón rectangular,de 75x150 cm FIBRA DE VIDRIO,815.00
387,Tablón rectangular,de 75x150 cm FIBRACEL,665.00
388,Tablón rectangular,de 75x120 cm PLASTICO,740.00
389,Tablón rectangular,de 75x120 cm FIBRA DE VIDRIO,750.00
390,Tablón rectangular,de 75x120 cm FIBRACEL,595.00
391,Tablón rectangular,de 75x100 cm FIBRA DE VIDRIO,695.00
392,Tablón rectangular,de 75x100 cm FIBRACEL,550.00
393,Tablón rectangular,de 75x240 cm PLASTICO,1350.00
394,Tablón rectangular,de 75x240 cm FIBRA DE VIDRIO,1150.00
395,Tablón rectangular,de 75x240 cm FIBRACEL,865.00
396,Tablón cuadrado,de 75x75 cm FIBRA DE VIDRIO,670.00
397,Tablón cuadrado,de 75x75 cm FIBRACEL,580.00
398,Tablón cuadrado,de 150x150 cm FIBRA DE VIDRIO,1360.00
399,Tablón cuadrado,de 150x150 cm FIBRACEL,1185.00
400,Tablón cuadrado,de 90x90 cm FIBRA DE VIDRIO,915.00
401,Tablón redondo,de 120 cm de diámetro FIBRA DE VIDRIO,1290.00
402,Tablón redondo,de 120 cm de diámetro FIBRACEL,930.00
403,Tablón redondo,de 150 cm de diámetro FIBRA DE VIDRIO,1340.00
404,Tablón redondo,de 150 cm de diámetro FIBRACEL,1055.00
405,Silla plegable tapizada,acojinada cromada INFANTIL,200.00
406,Silla plegable tapizada,acojinada cromada ADULTO,220.00
407,Silla plegable tapizada,acojinada pintada INFANTIL,200.00
408,Silla plegable tapizada,acojinada pintada ADULTO,219.00
409,Silla plegable de polipropileno,INFANTIL,195.00
410,Silla plegable de polipropileno,ADULTO,215.00
411,Silla ECO,tapizada en pliana pintada,462.00
412,Silla ECO,tapizada en pliana cromada,641.00
413,Silla ECO,tapizada en vinil pintada,457.00
414,Silla ECO,tapizada en vinil cromada,641.00 
